T2M,T2M_MAX,T2M_MIN,RH2M,WS10M,PRECTOTCORR,DATE,YEAR,MONTH,HEAVY_RAIN,HEATWAVE,EXTREME_RAIN,TEMP_ANOMALY,TEMP_MA30,TEMP_RANGE,TEMP_MA7,RAIN_MA7
17.57,25.56,9.91,52.72,2.82,0.0,2000-01-30,2000,1,False,0,0,-8.278685939553217,17.609666666666666,15.649999999999999,18.638571428571428,0.05857142857142863
18.72,26.47,11.38,49.07,1.63,0.0,2000-01-31,2000,1,False,0,0,-7.128685939553218,17.699333333333335,15.089999999999998,18.54714285714286,0.05857142857142863
19.44,28.0,12.55,57.41,2.58,0.0,2000-02-01,2000,2,False,0,0,-6.408685939553216,17.81866666666667,15.45,18.704285714285714,0.05857142857142863
21.16,28.4,15.45,75.7,4.02,4.26,2000-02-02,2000,2,False,0,0,-4.688685939553217,18.014,12.95,19.150000000000002,0.6671428571428571
22.05,28.52,17.14,75.62,2.31,4.78,2000-02-03,2000,2,False,0,0,-3.7986859395532164,18.236666666666668,11.379999999999999,19.611428571428572,1.3499999999999999
21.95,28.88,16.11,72.89,1.75,1.23,2000-02-04,2000,2,False,0,0,-3.898685939553218,18.473333333333336,12.77,19.95285714285714,1.5185714285714285
22.17,29.29,16.79,78.85,2.92,4.19,2000-02-05,2000,2,False,0,0,-3.6786859395532154,18.730999999999998,12.5,20.437142857142856,2.065714285714286
22.38,28.27,18.57,81.69,3.45,4.51,2000-02-06,2000,2,False,0,0,-3.468685939553218,18.989666666666665,9.7,21.124285714285715,2.71
21.94,27.55,18.1,76.78,2.39,2.16,2000-02-07,2000,2,False,0,0,-3.908685939553216,19.216333333333335,9.45,21.584285714285716,3.018571428571429
20.99,27.68,15.08,67.11,2.31,0.0,2000-02-08,2000,2,False,0,0,-4.858685939553219,19.360000000000003,12.6,21.805714285714288,3.018571428571429
21.24,27.28,15.21,70.32,2.12,0.06,2000-02-09,2000,2,False,0,0,-4.608685939553219,19.487666666666666,12.07,21.81714285714286,2.418571428571429
21.94,27.43,18.22,80.8,2.22,0.03,2000-02-10,2000,2,False,0,0,-3.908685939553216,19.615333333333336,9.21,21.801428571428573,1.7400000000000002
21.85,29.38,15.77,73.82,2.61,0.08,2000-02-11,2000,2,False,0,0,-3.9986859395532157,19.725,13.61,21.78714285714286,1.5757142857142858
23.0,28.4,19.41,83.37,2.34,11.84,2000-02-12,2000,2,False,0,0,-2.848685939553217,19.84466666666667,8.989999999999998,21.905714285714286,2.6685714285714286
21.94,27.97,16.65,72.33,3.14,0.28,2000-02-13,2000,2,False,0,0,-3.908685939553216,19.921,11.32,21.842857142857145,2.064285714285714
20.3,26.09,16.37,66.39,3.73,0.0,2000-02-14,2000,2,False,0,0,-5.548685939553216,19.902,9.719999999999999,21.608571428571427,1.7557142857142856
19.45,28.31,11.69,53.18,3.5,0.0,2000-02-15,2000,2,False,0,0,-6.398685939553218,19.86133333333333,16.619999999999997,21.388571428571428,1.7557142857142856
18.95,27.27,10.12,45.65,2.92,0.0,2000-02-16,2000,2,False,0,0,-6.898685939553218,19.924,17.15,21.06142857142857,1.7471428571428569
21.54,28.93,15.24,60.12,1.91,1.53,2000-02-17,2000,2,False,0,0,-4.308685939553218,20.158,13.69,21.004285714285714,1.9614285714285715
21.65,27.12,16.04,79.15,2.37,3.57,2000-02-18,2000,2,False,0,0,-4.198685939553219,20.378333333333334,11.080000000000002,20.975714285714286,2.46
20.87,28.33,13.49,58.11,1.41,0.0,2000-02-19,2000,2,False,0,0,-4.978685939553216,20.490000000000002,14.839999999999998,20.671428571428574,0.7685714285714286
21.04,28.4,13.07,54.76,1.62,0.0,2000-02-20,2000,2,False,0,0,-4.808685939553218,20.529333333333334,15.329999999999998,20.54285714285714,0.7285714285714285
21.2,27.79,16.4,50.03,1.67,0.13,2000-02-21,2000,2,False,0,0,-4.648685939553218,20.575,11.39,20.67142857142857,0.7471428571428571
20.92,28.25,13.85,60.04,2.02,0.03,2000-02-22,2000,2,False,0,0,-4.928685939553215,20.572,14.4,20.881428571428568,0.7514285714285714
22.48,30.2,14.61,59.44,2.13,0.0,2000-02-23,2000,2,False,0,0,-3.3686859395532167,20.676000000000002,15.59,21.38571428571429,0.7514285714285714
22.34,29.0,16.11,54.56,2.62,0.05,2000-02-24,2000,2,False,0,0,-3.5086859395532173,20.80933333333333,12.89,21.5,0.5399999999999999
22.09,29.74,16.72,47.2,2.81,0.02,2000-02-25,2000,2,False,0,0,-3.7586859395532173,20.944333333333336,13.02,21.562857142857144,0.032857142857142856
19.29,25.32,12.96,47.3,2.3,0.0,2000-02-26,2000,2,False,0,0,-6.558685939553218,20.959999999999997,12.36,21.337142857142858,0.032857142857142856
20.7,28.88,12.58,52.44,2.62,0.0,2000-02-27,2000,2,False,0,0,-5.148685939553218,20.998,16.299999999999997,21.28857142857143,0.032857142857142856
21.89,30.29,13.62,53.56,2.67,0.0,2000-02-28,2000,2,False,0,0,-3.9586859395532166,21.101666666666667,16.67,21.387142857142855,0.014285714285714287
22.05,30.48,13.95,37.29,1.64,0.0,2000-02-29,2000,2,False,0,0,-3.7986859395532164,21.251,16.53,21.548571428571428,0.01
23.42,31.92,15.54,49.4,2.06,0.0,2000-03-01,2000,3,False,0,0,-2.4286859395532154,21.407666666666668,16.380000000000003,21.68285714285714,0.01
25.01,33.56,18.07,63.69,2.7,0.0,2000-03-02,2000,3,False,0,0,-0.8386859395532156,21.59333333333333,15.490000000000002,22.064285714285713,0.002857142857142857
26.52,34.51,19.93,61.44,2.43,0.0,2000-03-03,2000,3,False,0,0,0.6713140604467824,21.772,14.579999999999998,22.69714285714286,0.0
26.8,34.51,20.59,63.26,2.05,0.0,2000-03-04,2000,3,False,0,0,0.9513140604467836,21.930333333333337,13.919999999999998,23.77,0.0
27.09,35.56,20.49,66.09,3.38,0.0,2000-03-05,2000,3,False,0,0,1.2413140604467827,22.101666666666667,15.070000000000004,24.68285714285714,0.0
27.19,35.96,20.72,55.95,3.05,0.0,2000-03-06,2000,3,False,0,0,1.3413140604467841,22.269000000000002,15.240000000000002,25.439999999999998,0.0
26.34,35.74,18.12,40.02,1.96,0.0,2000-03-07,2000,3,False,0,0,0.4913140604467827,22.401000000000003,17.62,26.052857142857142,0.0
27.02,35.72,20.71,67.12,4.81,0.49,2000-03-08,2000,3,False,0,0,1.1713140604467824,22.570333333333334,15.009999999999998,26.56714285714286,0.06999999999999999
25.15,33.26,17.18,44.34,2.67,0.29,2000-03-09,2000,3,False,0,0,-0.6986859395532186,22.709,16.08,26.587142857142858,0.11142857142857143
24.44,33.41,15.58,32.14,2.58,0.0,2000-03-10,2000,3,False,0,0,-1.4086859395532159,22.815666666666665,17.83,26.29,0.11142857142857143
25.08,34.59,16.47,63.94,3.9,0.0,2000-03-11,2000,3,False,0,0,-0.7686859395532188,22.920333333333335,18.120000000000005,26.044285714285714,0.11142857142857143
27.81,35.98,21.97,66.63,5.22,0.22,2000-03-12,2000,3,False,0,0,1.9613140604467816,23.118999999999996,14.009999999999998,26.147142857142857,0.14285714285714285
28.4,37.03,22.54,64.43,4.85,0.38,2000-03-13,2000,3,False,0,0,2.5513140604467814,23.299,14.490000000000002,26.32,0.19714285714285712
28.51,36.52,22.96,64.16,4.48,0.49,2000-03-14,2000,3,False,0,0,2.6613140604467844,23.518000000000004,13.560000000000002,26.63,0.2671428571428572
26.15,34.5,17.01,36.91,2.56,0.04,2000-03-15,2000,3,False,0,0,0.30131406044678144,23.713,17.49,26.505714285714284,0.20285714285714285
25.22,33.78,17.1,35.05,2.93,0.0,2000-03-16,2000,3,False,0,0,-0.6286859395532183,23.905333333333335,16.68,26.515714285714285,0.16142857142857142
24.33,34.27,14.48,31.17,2.82,0.0,2000-03-17,2000,3,False,0,0,-1.5186859395532188,24.084666666666667,19.790000000000003,26.499999999999996,0.16142857142857142
26.22,35.63,17.44,61.77,3.99,0.0,2000-03-18,2000,3,False,0,0,0.3713140604467817,24.240666666666666,18.19,26.662857142857142,0.16142857142857142
28.3,36.69,21.08,58.6,2.72,0.0,2000-03-19,2000,3,False,0,0,2.4513140604467836,24.46233333333333,15.61,26.732857142857142,0.13
27.41,35.95,19.81,39.95,2.88,0.0,2000-03-20,2000,3,False,0,0,1.561314060446783,24.680333333333333,16.140000000000004,26.59142857142857,0.07571428571428572
26.12,36.39,15.59,22.0,2.6,0.0,2000-03-21,2000,3,False,0,0,0.27131406044678386,24.849666666666668,20.8,26.25,0.005714285714285714
27.1,38.45,16.9,31.17,1.95,0.0,2000-03-22,2000,3,False,0,0,1.2513140604467843,25.046333333333337,21.550000000000004,26.385714285714283,0.0
28.2,38.04,19.43,53.41,2.44,0.0,2000-03-23,2000,3,False,0,0,2.351314060446782,25.288999999999998,18.61,26.81142857142857,0.0
27.69,36.69,19.29,37.64,3.64,0.0,2000-03-24,2000,3,False,0,0,1.8413140604467841,25.462666666666667,17.4,27.291428571428575,0.0
28.32,36.95,20.96,37.48,2.77,0.0,2000-03-25,2000,3,False,0,0,2.471314060446783,25.662,15.990000000000002,27.591428571428573,0.0
