T2M,T2M_MAX,T2M_MIN,RH2M,WS10M,PRECTOTCORR,DATE,YEAR,MONTH,HEAVY_RAIN,HEATWAVE,EXTREME_RAIN,TEMP_ANOMALY,TEMP_MA30
16.03,24.26,9.61,63.43,3.04,0.0,2000-01-01,2000,1,False,False,False,-9.818685939553216,
15.86,24.2,8.22,61.48,2.95,0.0,2000-01-02,2000,1,False,False,False,-9.988685939553218,
15.3,23.92,7.94,62.14,3.15,0.0,2000-01-03,2000,1,False,False,False,-10.548685939553216,
15.37,24.12,7.37,58.3,3.14,0.0,2000-01-04,2000,1,False,False,False,-10.478685939553218,
14.85,23.67,7.0,59.75,3.05,0.0,2000-01-05,2000,1,False,False,False,-10.998685939553217,
14.44,23.2,7.13,60.68,3.39,0.0,2000-01-06,2000,1,False,False,False,-11.408685939553218,
14.62,23.55,6.3,59.53,3.13,0.0,2000-01-07,2000,1,False,False,False,-11.228685939553218,
15.14,23.44,7.05,55.83,2.64,0.0,2000-01-08,2000,1,False,False,False,-10.708685939553217,
16.68,24.08,9.43,53.4,1.89,0.0,2000-01-09,2000,1,False,False,False,-9.168685939553217,
17.41,25.35,8.99,61.65,2.05,0.0,2000-01-10,2000,1,False,False,False,-8.438685939553217,
18.11,25.28,10.31,60.75,2.02,0.0,2000-01-11,2000,1,False,False,False,-7.738685939553218,
18.56,26.47,10.1,63.61,1.84,0.0,2000-01-12,2000,1,False,False,False,-7.288685939553218,
19.41,27.28,11.79,68.53,1.72,0.0,2000-01-13,2000,1,False,False,False,-6.438685939553217,
19.65,27.88,13.43,76.53,3.22,0.0,2000-01-14,2000,1,False,False,False,-6.198685939553219,
20.87,28.66,13.1,60.91,1.47,0.12,2000-01-15,2000,1,False,False,False,-4.978685939553216,
20.67,27.9,15.49,69.27,2.37,0.51,2000-01-16,2000,1,False,False,False,-5.178685939553215,
17.07,25.78,10.66,64.57,3.72,0.0,2000-01-17,2000,1,False,False,False,-8.778685939553217,
14.52,23.3,7.33,58.43,3.63,0.0,2000-01-18,2000,1,False,False,False,-11.328685939553218,
15.04,23.81,6.65,57.75,3.0,0.0,2000-01-19,2000,1,False,False,False,-10.808685939553218,
17.52,26.62,8.43,61.2,2.82,0.0,2000-01-20,2000,1,False,False,False,-8.328685939553218,
19.86,27.5,14.44,76.71,2.35,0.02,2000-01-21,2000,1,False,False,False,-5.988685939553218,
19.83,28.83,11.81,62.97,2.32,0.05,2000-01-22,2000,1,False,False,False,-6.018685939553219,
21.01,27.7,16.43,78.35,2.84,2.15,2000-01-23,2000,1,False,False,False,-4.838685939553216,
19.36,27.51,12.97,66.92,2.94,0.0,2000-01-24,2000,1,False,False,False,-6.488685939553218,
18.34,26.51,11.54,66.7,3.15,0.0,2000-01-25,2000,1,False,False,False,-7.508685939553217,
18.04,26.58,11.09,61.23,3.23,0.0,2000-01-26,2000,1,False,False,False,-7.808685939553218,
18.82,27.03,10.89,56.0,2.21,0.0,2000-01-27,2000,1,False,False,False,-7.028685939553217,
19.56,28.29,10.91,59.06,2.46,0.05,2000-01-28,2000,1,False,False,False,-6.288685939553218,
18.78,26.48,13.63,67.03,3.8,0.36,2000-01-29,2000,1,False,False,False,-7.068685939553216,
17.57,25.56,9.91,52.72,2.82,0.0,2000-01-30,2000,1,False,False,False,-8.278685939553217,17.609666666666666
18.72,26.47,11.38,49.07,1.63,0.0,2000-01-31,2000,1,False,False,False,-7.128685939553218,17.699333333333335
19.44,28.0,12.55,57.41,2.58,0.0,2000-02-01,2000,2,False,False,False,-6.408685939553216,17.81866666666667
21.16,28.4,15.45,75.7,4.02,4.26,2000-02-02,2000,2,False,False,False,-4.688685939553217,18.014
22.05,28.52,17.14,75.62,2.31,4.78,2000-02-03,2000,2,False,False,False,-3.7986859395532164,18.236666666666668
21.95,28.88,16.11,72.89,1.75,1.23,2000-02-04,2000,2,False,False,False,-3.898685939553218,18.473333333333336
22.17,29.29,16.79,78.85,2.92,4.19,2000-02-05,2000,2,False,False,False,-3.6786859395532154,18.730999999999998
22.38,28.27,18.57,81.69,3.45,4.51,2000-02-06,2000,2,False,False,False,-3.468685939553218,18.989666666666665
21.94,27.55,18.1,76.78,2.39,2.16,2000-02-07,2000,2,False,False,False,-3.908685939553216,19.216333333333335
20.99,27.68,15.08,67.11,2.31,0.0,2000-02-08,2000,2,False,False,False,-4.858685939553219,19.360000000000003
21.24,27.28,15.21,70.32,2.12,0.06,2000-02-09,2000,2,False,False,False,-4.608685939553219,19.487666666666666
21.94,27.43,18.22,80.8,2.22,0.03,2000-02-10,2000,2,False,False,False,-3.908685939553216,19.615333333333336
21.85,29.38,15.77,73.82,2.61,0.08,2000-02-11,2000,2,False,False,False,-3.9986859395532157,19.725
23.0,28.4,19.41,83.37,2.34,11.84,2000-02-12,2000,2,False,False,False,-2.848685939553217,19.84466666666667
21.94,27.97,16.65,72.33,3.14,0.28,2000-02-13,2000,2,False,False,False,-3.908685939553216,19.921
20.3,26.09,16.37,66.39,3.73,0.0,2000-02-14,2000,2,False,False,False,-5.548685939553216,19.902
19.45,28.31,11.69,53.18,3.5,0.0,2000-02-15,2000,2,False,False,False,-6.398685939553218,19.86133333333333
18.95,27.27,10.12,45.65,2.92,0.0,2000-02-16,2000,2,False,False,False,-6.898685939553218,19.924
21.54,28.93,15.24,60.12,1.91,1.53,2000-02-17,2000,2,False,False,False,-4.308685939553218,20.158
21.65,27.12,16.04,79.15,2.37,3.57,2000-02-18,2000,2,False,False,False,-4.198685939553219,20.378333333333334
20.87,28.33,13.49,58.11,1.41,0.0,2000-02-19,2000,2,False,False,False,-4.978685939553216,20.490000000000002
21.04,28.4,13.07,54.76,1.62,0.0,2000-02-20,2000,2,False,False,False,-4.808685939553218,20.529333333333334
21.2,27.79,16.4,50.03,1.67,0.13,2000-02-21,2000,2,False,False,False,-4.648685939553218,20.575
20.92,28.25,13.85,60.04,2.02,0.03,2000-02-22,2000,2,False,False,False,-4.928685939553215,20.572
22.48,30.2,14.61,59.44,2.13,0.0,2000-02-23,2000,2,False,False,False,-3.3686859395532167,20.676000000000002
22.34,29.0,16.11,54.56,2.62,0.05,2000-02-24,2000,2,False,False,False,-3.5086859395532173,20.80933333333333
22.09,29.74,16.72,47.2,2.81,0.02,2000-02-25,2000,2,False,False,False,-3.7586859395532173,20.944333333333336
19.29,25.32,12.96,47.3,2.3,0.0,2000-02-26,2000,2,False,False,False,-6.558685939553218,20.959999999999997
20.7,28.88,12.58,52.44,2.62,0.0,2000-02-27,2000,2,False,False,False,-5.148685939553218,20.998
21.89,30.29,13.62,53.56,2.67,0.0,2000-02-28,2000,2,False,False,False,-3.9586859395532166,21.101666666666667
22.05,30.48,13.95,37.29,1.64,0.0,2000-02-29,2000,2,False,False,False,-3.7986859395532164,21.251
23.42,31.92,15.54,49.4,2.06,0.0,2000-03-01,2000,3,False,False,False,-2.4286859395532154,21.407666666666668
25.01,33.56,18.07,63.69,2.7,0.0,2000-03-02,2000,3,False,False,False,-0.8386859395532156,21.59333333333333
26.52,34.51,19.93,61.44,2.43,0.0,2000-03-03,2000,3,False,False,False,0.6713140604467824,21.772
26.8,34.51,20.59,63.26,2.05,0.0,2000-03-04,2000,3,False,False,False,0.9513140604467836,21.930333333333337
27.09,35.56,20.49,66.09,3.38,0.0,2000-03-05,2000,3,False,False,False,1.2413140604467827,22.101666666666667
27.19,35.96,20.72,55.95,3.05,0.0,2000-03-06,2000,3,False,False,False,1.3413140604467841,22.269000000000002
26.34,35.74,18.12,40.02,1.96,0.0,2000-03-07,2000,3,False,False,False,0.4913140604467827,22.401000000000003
27.02,35.72,20.71,67.12,4.81,0.49,2000-03-08,2000,3,False,False,False,1.1713140604467824,22.570333333333334
25.15,33.26,17.18,44.34,2.67,0.29,2000-03-09,2000,3,False,False,False,-0.6986859395532186,22.709
24.44,33.41,15.58,32.14,2.58,0.0,2000-03-10,2000,3,False,False,False,-1.4086859395532159,22.815666666666665
25.08,34.59,16.47,63.94,3.9,0.0,2000-03-11,2000,3,False,False,False,-0.7686859395532188,22.920333333333335
27.81,35.98,21.97,66.63,5.22,0.22,2000-03-12,2000,3,False,False,False,1.9613140604467816,23.118999999999996
28.4,37.03,22.54,64.43,4.85,0.38,2000-03-13,2000,3,False,False,False,2.5513140604467814,23.299
28.51,36.52,22.96,64.16,4.48,0.49,2000-03-14,2000,3,False,False,False,2.6613140604467844,23.518000000000004
26.15,34.5,17.01,36.91,2.56,0.04,2000-03-15,2000,3,False,False,False,0.30131406044678144,23.713
25.22,33.78,17.1,35.05,2.93,0.0,2000-03-16,2000,3,False,False,False,-0.6286859395532183,23.905333333333335
24.33,34.27,14.48,31.17,2.82,0.0,2000-03-17,2000,3,False,False,False,-1.5186859395532188,24.084666666666667
26.22,35.63,17.44,61.77,3.99,0.0,2000-03-18,2000,3,False,False,False,0.3713140604467817,24.240666666666666
28.3,36.69,21.08,58.6,2.72,0.0,2000-03-19,2000,3,False,False,False,2.4513140604467836,24.46233333333333
27.41,35.95,19.81,39.95,2.88,0.0,2000-03-20,2000,3,False,False,False,1.561314060446783,24.680333333333333
26.12,36.39,15.59,22.0,2.6,0.0,2000-03-21,2000,3,False,False,False,0.27131406044678386,24.849666666666668
27.1,38.45,16.9,31.17,1.95,0.0,2000-03-22,2000,3,False,False,False,1.2513140604467843,25.046333333333337
28.2,38.04,19.43,53.41,2.44,0.0,2000-03-23,2000,3,False,False,False,2.351314060446782,25.288999999999998
27.69,36.69,19.29,37.64,3.64,0.0,2000-03-24,2000,3,False,False,False,1.8413140604467841,25.462666666666667
28.32,36.95,20.96,37.48,2.77,0.0,2000-03-25,2000,3,False,False,False,2.471314060446783,25.662
27.76,34.65,19.71,33.04,2.15,0.0,2000-03-26,2000,3,False,False,False,1.9113140604467844,25.851
28.72,37.12,21.18,44.01,1.86,0.09,2000-03-27,2000,3,False,False,False,2.8713140604467817,26.165333333333333
29.23,37.74,21.7,48.59,2.15,0.0,2000-03-28,2000,3,False,False,False,3.3813140604467833,26.449666666666666
29.39,38.32,21.01,51.57,2.1,0.0,2000-03-29,2000,3,False,False,False,3.5413140604467834,26.699666666666666
29.5,37.84,22.42,54.95,3.09,0.0,2000-03-30,2000,3,False,False,False,3.651314060446783,26.947999999999997
29.13,37.47,21.57,58.38,4.04,0.0,2000-03-31,2000,3,False,False,False,3.281314060446782,27.138333333333332
30.19,39.53,23.01,59.58,5.23,0.0,2000-04-01,2000,4,False,False,False,4.341314060446784,27.311
30.68,40.41,23.53,61.03,5.59,0.0,2000-04-02,2000,4,False,True,False,4.831314060446783,27.449666666666666
31.19,41.17,23.76,56.11,3.76,0.0,2000-04-03,2000,4,False,True,False,5.341314060446784,27.596
31.3,41.02,24.1,57.94,4.29,0.0,2000-04-04,2000,4,False,True,False,5.451314060446784,27.736333333333334
31.62,41.08,24.32,61.49,4.44,0.0,2000-04-05,2000,4,False,True,False,5.771314060446784,27.884
31.73,40.8,24.87,59.48,4.49,0.0,2000-04-06,2000,4,False,True,False,5.881314060446783,28.063666666666666
31.5,39.53,24.89,63.59,4.62,0.0,2000-04-07,2000,4,False,False,False,5.651314060446783,28.213
32.15,41.88,24.53,55.84,3.73,0.0,2000-04-08,2000,4,False,True,False,6.301314060446781,28.44633333333333
31.82,41.06,24.83,62.5,5.36,0.4,2000-04-09,2000,4,False,True,False,5.971314060446783,28.692333333333337
32.95,42.4,25.5,46.68,2.68,0.41,2000-04-10,2000,4,False,True,False,7.101314060446786,28.954666666666665
31.99,41.56,24.08,56.99,4.34,1.76,2000-04-11,2000,4,False,True,False,6.141314060446781,29.093999999999998
30.39,37.91,25.21,67.21,4.15,13.82,2000-04-12,2000,4,False,False,False,4.541314060446783,29.16033333333333
30.37,38.16,24.95,64.65,4.45,0.0,2000-04-13,2000,4,False,False,False,4.521314060446784,29.22233333333333
29.95,37.96,24.09,63.61,4.9,0.02,2000-04-14,2000,4,False,False,False,4.101314060446782,29.349
28.73,34.55,24.46,72.37,3.93,8.21,2000-04-15,2000,4,False,False,False,2.8813140604467833,29.466
29.79,36.93,24.03,66.93,2.63,1.61,2000-04-16,2000,4,False,False,False,3.941314060446782,29.648000000000003
30.5,37.27,25.02,64.3,3.65,0.03,2000-04-17,2000,4,False,False,False,4.651314060446783,29.790666666666667
31.3,39.06,25.38,65.05,5.67,0.03,2000-04-18,2000,4,False,False,False,5.451314060446784,29.890666666666668
31.02,38.24,25.56,66.04,5.59,0.01,2000-04-19,2000,4,False,False,False,5.171314060446782,30.011
31.5,39.93,25.66,65.81,5.6,0.01,2000-04-20,2000,4,False,False,False,5.651314060446783,30.190333333333335
31.2,38.78,25.72,67.01,6.1,0.75,2000-04-21,2000,4,False,False,False,5.351314060446782,30.326999999999998
29.88,36.11,25.77,72.8,5.24,1.27,2000-04-22,2000,4,False,False,False,4.031314060446782,30.383
30.79,38.02,25.16,68.57,5.95,0.49,2000-04-23,2000,4,False,False,False,4.941314060446782,30.48633333333333
31.23,39.79,26.49,66.54,5.67,12.94,2000-04-24,2000,4,False,False,False,5.381314060446783,30.583333333333332
30.63,37.27,25.91,68.59,5.22,6.79,2000-04-25,2000,4,False,False,False,4.781314060446782,30.679
29.82,35.83,25.65,73.15,5.87,5.5,2000-04-26,2000,4,False,False,False,3.971314060446783,30.715666666666667
30.56,37.5,25.31,70.67,4.18,1.68,2000-04-27,2000,4,False,False,False,4.711314060446782,30.759999999999998
30.86,37.17,27.08,71.15,5.47,1.17,2000-04-28,2000,4,False,False,False,5.011314060446782,30.809
30.49,36.38,26.37,75.0,6.26,6.55,2000-04-29,2000,4,False,False,False,4.641314060446781,30.842
29.95,35.5,26.64,76.42,7.04,6.74,2000-04-30,2000,4,False,False,False,4.101314060446782,30.869333333333334
30.59,37.32,26.36,72.08,7.21,0.62,2000-05-01,2000,5,False,False,False,4.741314060446783,30.882666666666662
29.5,34.55,26.36,77.78,6.69,16.22,2000-05-02,2000,5,False,False,False,3.651314060446783,30.84333333333333
28.23,32.28,25.84,83.69,5.08,27.05,2000-05-03,2000,5,False,False,False,2.3813140604467833,30.744666666666664
27.87,31.66,25.19,77.24,2.04,5.99,2000-05-04,2000,5,False,False,False,2.021314060446784,30.630333333333333
28.39,33.65,24.08,71.95,2.76,0.0,2000-05-05,2000,5,False,False,False,2.5413140604467834,30.522666666666666
28.57,34.02,23.8,70.16,2.94,0.0,2000-05-06,2000,5,False,False,False,2.721314060446783,30.417333333333332
28.52,32.97,24.66,70.46,2.02,0.2,2000-05-07,2000,5,False,False,False,2.6713140604467824,30.317999999999998
27.82,30.71,25.26,79.41,1.69,7.14,2000-05-08,2000,5,False,False,False,1.9713140604467831,30.17366666666667
28.56,32.24,25.13,81.01,2.48,19.32,2000-05-09,2000,5,False,False,False,2.7113140604467816,30.064999999999998
29.26,33.15,25.83,79.0,2.98,10.89,2000-05-10,2000,5,False,False,False,3.4113140604467844,29.942
29.97,34.46,26.02,76.02,2.14,3.58,2000-05-11,2000,5,False,False,False,4.121314060446782,29.874666666666666
30.78,35.07,26.59,72.1,1.83,0.51,2000-05-12,2000,5,False,False,False,4.931314060446784,29.887666666666668
31.43,37.18,26.35,70.3,2.49,4.16,2000-05-13,2000,5,False,False,False,5.581314060446783,29.923000000000002
31.25,36.77,26.74,72.38,3.33,4.59,2000-05-14,2000,5,False,False,False,5.401314060446783,29.966333333333335
29.63,34.24,26.17,74.61,3.08,1.11,2000-05-15,2000,5,False,False,False,3.781314060446782,29.996333333333332
29.47,33.79,26.72,72.65,3.35,5.64,2000-05-16,2000,5,False,False,False,3.6213140604467817,29.985666666666663
28.98,32.42,26.15,81.98,3.19,10.14,2000-05-17,2000,5,False,False,False,3.1313140604467833,29.935
30.77,36.16,26.74,77.68,3.3,6.48,2000-05-18,2000,5,False,False,False,4.921314060446782,29.917333333333332
31.67,37.37,27.96,76.62,2.98,8.28,2000-05-19,2000,5,False,False,False,5.821314060446785,29.939000000000004
